User,Review Year,Ratings,Review
Ryan,2022,5, Pretty damn great.
Brandon McMillan,2022,4, It gets hot.
K. Ramsingh,2022,5, a full on monster
Reid Frederiksen,2022,5, Perfect
David Smerza,2022,5, After a month I am still pleased with its performance.
Chas Nagy,2022,5, Awesome gaming system for the money...
Danny,2022,5, Awesome
whiskeyfoy,2020,4, 7 hours of pure Joy.. Until it wasn't. c'est la vie
Diana,2022,5, Highly recommend
Jonah Foster,2022,5, Well worth the wait
Justin Pham,2022,5, Easy to get
Joseph Kelly,2022,4, Impressive
kenneth B. Echols,2022,5, Xbox-Series-X
Mark R Wootten,2022,5, Great upgrade
Simon,2022,5, Brand New.
jeremy,2022,5, Finally got Xbox series X at a decent price
Dylan Mares,2022,5, Top console to date for new gen
Gman,2020,5, Most powerful Xbox I ever owned. Its a good system for retro Xbox gamers.
Joseph Rodriguez,2022,5, Everything you could expect and more!
Shaun Slater,2022,5, Beautiful!
Rolando Bravo,2022,5, Excelente compra
Nick P,2022,5, WOW
Tiron Brown,2022,5, I was skeptical but it’s awesome
Scot DeFevere,2022,5, Fast solid state hard drive makes it Fast
Nick Hammond,2022,5, Series X
TED B.,2022,5, Love that new game system smell when you open the box
Stacey Terry,2022,5, Great buy
Isaac Jaimes,2022,5, The best console ever
Kyle G,2022,5, Wow
Marlon A. Diaz,2022,5, Excelentes condiciones y vino en el tiempo acordado.
kenneth,2022,5, Xbox X only.
Greg,2022,4, Box was damaged
Kolin,2022,4, product came quick and nicely packaged
EX,2022,5, Yes!
Steven Rauscher,2022,5, No complaints at all!
Kathy Gralnik,2022,5, LOVE LOVE LOVE!!!
Nehemias,2022,5, XBOX SERIES X BEST EVER CONSOLE
Jake,2022,5, Excellent
kamal main,2022,5, My son loves it
Ariana,2022,5, Worth the money
AmazonAJ,2020,5, The monolith of POWER!
Jesus Mora,2022,5, Best console ever !!!!!
Amazon Customer,2023,3, So far so good?
Dave,2022,4, Flawless transaction
Quinn,2022,5, Just as powerful as they say
Bruce A Christensen,2022,5, Excellent product and fast shipping
Jerry Rodriguez,2022,5, Great Console! Easy to Sync Account
B,2022,1, Whatever happened to value for the money? And no more nag upsell garbage?
Danny Livas,2021,5, This console is at the pinnacle of gaming!
POWnobodyNOW,2022,5, Better than I expected.
Stereopirate,2022,5, Works as advertised
salvador garcia jr,2022,3, Came Scratched Almost If Used?
Amazon Customer,2022,5, Amazing piece of machinery!
Clinton,2022,5, A sensational entertainment device
Tomczak,2022,4, Great Console.
Patrick Malone,2022,5, It's working perfectly and was Brand new
Richard Gagnon,2022,5, Finally got one.
Axel Rodriguez,2022,5, Never disappointed with Xbox
Peter,2022,5, It's 4k resolution is great
Alan Guzman,2022,5, Awesome and fun
Falkinator,2022,5, Greatest console known to man!
Dan Greif,2022,5, Finally!
Ethan Ferkett,2022,5, This console is a beast
Cameron,2021,5, A Superb Piece of Hardware
Mandie,2020,5, Well worth it!
Kendall,2022,5, Works perfectly
Angel Rafael Gomez Marcuñez,2022,5, Todo como lo esperaba
N8,2022,4, Faster downloading
G. Kelley,2022,3, Learning Will Happen
Trace Burdick,2022,5, SO much better than the old gen!
Julian,2022,4, Box not in very good condition
marfa08,2022,5, My 1st XBOX!
aaron,2022,5, It is great.
Ben,2022,4, Happy
luis palacios,2022,5, Worth it!
Hahn,2022,5, Waited 2 weeks for the invite but worth it.
Emmanuel Dava,2022,5, $499 sep 2022
Kendrick Hardin,2022,5," Exactly what I expected. Must appl, but a perfect system straight from manufacturer."
Billy G,2022,5, Series X
Marcus Robinson-Johnson,2022,5, Incredible
Mahel Oro,2022,5, Working Xbox Series X
Robert L Caldwell,2022,5, Works great so far
Nathan Johnson,2022,5, Got it on restock 4-1-2022
will,2022,5, Works as expected!
Ian,2020,5, Will only get better with software updates.
JAZ,2021,4, I am happy with it.
Michael R Brown Jr,2022,5, Xbox > PS5
Telee,2022,5, Xbox Series X
Konner McIntosh,2022,5, Fantastic!!!
Jay Gonzalez,2020,5," ""Xbox and Microsoft did an amazing job with this console in every way."" 10 out of 10"
Jacqueline Nazario,2022,5, I love my Xbox so happy to own one again.
Malcolm,2021,4," Well its another Xbox, I guess."
Amazon Customer,2023,1, Not really worth it
Amanda,2022,5, AWESOME
Amazon Customer,2022,5, Works great!
Trenton P Mongillo,2020,5, Amazing new gaming all in one system from Microsoft.
Dustin Raphael,2020,4, A day late and a screw loose
James Drees,2022,5, Amazing System!!
Zemier,2022,5, Amazing
jody,2022,5, Perfect! No price gouging.
alex,2022,5, Delivered much faster than estimated
David,2020,5, Absolutely stunning
Alex,2022,5, Amazon is king
Street,2022,5, Niiiice.. Brand New
Earnest Baker,2022,5, Better than I expected!!
Tim Lyons,2022,5, Couldn't be happier!
Rebecca Beam,2022,5, Xbox series X
JONATHON,2022,5, Everything as expected
Coco,2022,5, Great
Amazon_Dude,2022,5, Powerful & Mighty!
Thomas Faith Jr,2022,5, Happy customer
Jazzam,2022,5, Favorite Console - Used Every Day!
Campbell,2022,5, Exactly what I asked for!
Hi Tech Guy,2022,5, awesome performance compared to my Xbox One X
Eli Brady,2022,4, its something slight
mexmpc,2022,5, It's amazing. I'm so glad I bought it now before they raise the price again.
Joshua Barajas,2021,5," Great loading times, beautiful 120 FPS"
Sawyer Williamson,2022,5, Well count me happy
Jordan Alexander,2021,4," Great Graphics, Blazing Fast, & Halo (duh)"
emonster,2022,5, wow!
Ayasha,2022,5, HE'S SO HAPPY!!
Mz Trisha,2022,5, Nice Addition
Jon Lacoske,2022,5, Litt
Trkoyse,2020,5, Next-gen in Subtle ways (as of right now)
Evan,2022,4, Fast shipping but chipped corner
Alex M.,2022,5, Awesome console
Stephen Cornwell,2022,5, Just an incredible piece of technology
Brandon Fernandez,2022,5, FINALLY
Dirt Dog,2022,5, Makes the reload times beareable
Jed,2022,5, Great machine worth it 1000%
Damien Smith,2022,5, Finally!!
Brad H,2022,5, It was a legit Xbox Series X for $499
Julio Mendoza,2022,5, Honestly
joshua bowers,2022,5, Genuine xbox series x
Meghan Pennington,2020,5, I'm genuinely blown away.
Jeremy,2022,5, Best Xbox Ever !!
TRAVEL_JUAN,2022,5, Arrived August 14th
Tony,2022,5, Smooth
Pouya,2022,5, Great system
Alexis Medina,2022,5, whoo!!!
Vincenzo,2022,5, Worth It!
Mitchell J.,2022,5, Product arrived!
Kindle Customer,2022,5, Best xbox ever
Christian cazares,2022,5, Best Xbox ever
Abiel M,2022,5," Fast, Fun, and a Solid Gaming Experience"
Zachary K.,2022,5, Best console I've ever owned
Amazon Customer,2022,5, Perfect when paired with the perfect TV
ERiKboBARIK,2022,2," Great console, waiting on great games"
Manuel,2022,5, Primera Xbox que compro y muy buena
Poor Soul,2022,4, Wanted a 10 but took too long to find
Cody Welch,2022,5, I’m loving my purchase so much! 😍😍😍
Born,2022,5, Came on time. Works perfectly. Love it.
Steven Morden,2022,5, What a machine!
Nicolas,2022,5, Awesome!
Brandon Zdanowski,2022,5, Amazing graphics
Corvus,2022,5, Couldn’t be happier
Anthony Wallace,2022,5, The Next Generation.
Jena Jihyun Park,2022,5," Quick delivery, brand new"
Amazon Customer,2022,5, Finally!!!
Jensen,2022,5, excelente
Matthew Miceli,2022,5, Must have
Athena,2022,5, It works
SpiritCrushes,2022,5, Love it!
Robert Hopkins,2022,5, No complaints
CW,2022,5, So happy that I got my Xbox from Amazon!
Wes Marshall,2022,5, Great
Dear MR.J,2021,4, Works great with my 4K TV and smooth
Rafa,2020,5, Tower of power
Jerry Jennings,2021,4, Comparable to the PS5 but not much better than xbox s
Sean McNaughton,2022,5, Yep
James G,2022,5, It’s freaking amazing
Samuel Olmedo,2022,5, Excelente compra
Timothy G.,2022,5," Awesome console and great 4K with super speed with 1TB built in, Now it’s in stock!"
Philip,2022,5, Worth every penny.
John McCurdy,2022,5, Runs hot
rui santos,2022,4, space...
Truitt Wilson,2020,5," Amazing performance, amazing design, and incredible value"
Daniel Wright lll,2022,5, Fun filled entertainment
Nathaniel,2022,5, everything works perfectly
Riley Wittiger,2022,3," Mislead, but works well."
johao prada,2022,5," Súper confiable, llego a tiempo y perfecto 👌🏼"
Celeste,2022,5, Everything I expected!
Ryan O'Conner,2022,5, Love it!
Daniel,2022,4, Not much of a upgrade
W. Phillips,2022,5, Got one
Amazon Customer,2022,5, Great piece of gear
The-tx-barrs,2022,5, Son loves it!
James,2022,3, As expected
William Chmielewski,2022,5, Very happy
Jose,2022,5, the day has arrived!
Taylor S,2022,5, Great System! If you have a 4K TV definitely worth getting the Series X
Import562,2022,5, Finally got my hands on a X
NSt,2022,4, Be patient during the installation. You may have to start over several times.
Patrick R,2022,2, Eats disc's for breakfast
jesse,2022,5, Solid
JH,2022,5, Awesome...
Christopher S,2022,5, Awesome
Keith M,2020,5, Lots of potential.
Justin,2022,5," As advertised, brand new + Sealed in original box."
Ruperto Romo,2022,5, I finally found one!
William Jacocks,2022,5, Awesome deal
Jakob,2022,5, It’s good
Dayne Jackson,2022,5, Perfect experience after a few months of having it
PKL,2022,5, Console Supreme!
Thomas Weeks,2022,5, Love it
Cory Hornbaker,2022,5, Best thing ever
Jeffrey Lim,2022,5, Love my xbox
private,2022,5, Mo beta Graphics :)
Miguel Gonzalez III,2022,5, Oh Yes
justin,2022,3, Taped up box
Matt Naber,2022,5, Worth it
Carlos Torres,2022,5, Excellent product.
Kathy,2022,2, Very disappointed
sue boyd,2020,5, I must have been nicer than I thought....
Zack Rowe,2020,1, I wish I could give it 5 star but...
Shril,2022,5, Love my Xbox
Victor L. Ashley Sr,2022,5, Xbox that's all need to said.
Jennifer Collier,2021,5, Blazing fast speed and amazing 4K graphics
Giovanni Ambriz,2022,5, Lightning fast and beautiful graphics.
hybrid,2022,4, Good console system for every day use
dalgian,2022,5, I love my Xbox x
edward,2022,5, Satisfied!!
Jean Rosario Figueroa,2021,5, What great time to be alive! Thank you Microsoft!
jes,2023,1, It's like a Ferrai with no wheels
Eric,2022,5, No more crashing
Angel,2022,4, Amazing condtiom and fast delivery of console
Anthon,2022,5, What you see is what you get 100% Authentic
Infernal♤Cognition,2022,5, Wonderful Console with Breathtaking Visuals
Jeramiah Hughes,2022,5, Awesome
Leon,2022,5, XBOX ALL DAY EVERYDAY
Beder Galvan,2022,5, Excelente inversión al comprar
Phoenix Johnson,2022,5, value for money
Kermit L.,2022,5, Brake system for great price
Mark,2022,5, Fast shipping and great product.
Jesus Torres,2022,5, It arrived fast and product as described. Fantastic!!!
Richard G Paez Jr,2022,5, Love my Xbox
Brandon,2022,4, Team Xbox!!!
Macaw Squawker,2023,2, Not really impressed.
OFFICIAL MADE BEST,2022,5, Got for regular price
Jesse,2020,5, Xbox Series X is amazing!
Ridge Tawdrous,2020,4, Amazing for an Xbox but has some minor kinks to fix
Josh,2022,5, Very satisfied
Amazon Customer,2022,5, Fast
Matt Wenkman,2022,5, Game ON!
Jeff,2022,5, Luck
James,2022,5, FINALLY!
Amazon Customer,2022,5, Worth the wait
Mauricio Rosales,2022,5, Got the invitation faster than the PS5
Giancarlo Mendoza Ortega,2022,5, Excellent
Michael lind,2022,5," not one dent in the box, saying it was a excellent delivery"
Alex Kay,2022,5, Fast and even faster
danny james franco,2021,5, Excellent!
Christopher Savok,2022,5," I love the console, it arrived a day early."
Sean Durment,2022,5, Excellent product quick delivery!
Lokken,2022,5, Great response !
Berty Martinez,2020,4, Next gen gaming
Nick,2022,5, Great!
Fadi k,2022,5, Best console out there
Gayle Turner,2022,5, It's worth it!!!!
tmann4usa,2022,5, finally got on thanks Amazon
Heonseop Sim,2021,5, Xbox and the 1tb hard-drive perfect
Emily,2022,4, Could be a five but
Noah Marston,2022,5, Absolutely worth every cent
David H.,2022,5," No overheat issues, runs cool!"
Corban Roberts,2022,5, New Condition and gas delivery
Matt,2021,5, Amazing
weaponx88,2022,1, This is what the XB One should have been
J. Giles,2021,5, Love this system!
ELDON KORNELSEN,2022,5, Arrived before due date
Clint Noland,2022,5," Nice,"
Diego David Casa,2022,5, Amazing
Zayden Fisher,2022,5, amongus
David,2021,5, Impressed!
Ashley,2022,5, The best one made !
Shawn Andrew,2022,5," Get the ""new"" not used or good get the new one"
Jonathan L.,2022,5, Excellent
Tim and Cheryl Price,2022,5, So good
will Garey,2022,5," Excellent condition, quick delivery, very pleased!"
Chris,2022,5, Xbox X for the Win
Mateus,2022,5, great product
Matthew Chase,2022,5, Worth Buying! Great System!
Nolan,2022,5, Series X!
Christopher,2022,5, Perfect!
User456,2022,5, Not expecting
MrSavoie2U,2020,4, Best Xbox console to date however...
Kara Wilcox,2021,5, Wow…..just WOW
RAYRAY INKY PATTON,2022,5, Amazing picture and extremely fast loading
Nicholas,2022,5, Very nice works amazing
yourboyvip,2022,5, Xbox series x new
sean p.,2022,3, Confused
skylar,2022,5, Works great
Sweetness 198,2022,5, Intricately detailed graphics & increased loading speed!
Scott,2022,5, 100% new in box Perfect.
Andrew B.,2022,5, Nice little powerhouse.
Josh Hutton,2022,5, Love it.
Aaron V,2021,5, Amazing Performance for a good price if you can find one in stock.
Luis Rojas,2022,5, great next-gen console!
Courtney. K.,2022,5, Legit!
Khuram Jamil,2022,5, Next gen is amazing
Jacob Wentao Guo,2022,5," Good machine, nothing wrong"
Sebastian,2021,5, if you can only get one console this generation…its not this one.
Michael,2022,5, Works perfectly
Altoh khadka,2021,5, AMAZON is the best
fred420170,2022,3, Box arrived damaged
Saint,2022,5, Xbox Series X
Jose Gonzalez,2022,5, My July/Christmas gift
J’Von Miller,2023,2, Defective
Chris Rederstorf,2022,2, An expensive machine that was packed poorly.
Dermeister,2022,5, Good product
Eric,2022,2, It's been malfunctioning since I got it.
Kolby,2021,5, Sexy Gaming Console!
Guy H. Lane,2022,5, best console on the market
Patrick Johnson,2022,5, Awesome
Jermaine Edwards,2022,5, Great
Amazon Customer,2022,5, Amazing console
Tomas Rinne,2022,5, Worth the money
niuvis,2020,5," Great console, suggest to anyone that has an Xbox one s or less."
JesseB,2023,1, Never again
David,2021,5, Great product from Microsoft. DO NOT PAY MORE THAN RETAIL.
Amazon Customer,2022,5, It's an xbox
Mason Moore,2022,4, little over priced but better than others
Victor,2022,3, Solo me duró 2 meses
Jesse,2022,5, eff the scammers
rocketboy2k,2022,5, WORTH the RETAIL WAIT!
Stephen Morley,2020,5," It’s huge, but it’s awesome."
Branko,2022,5, Good deal 👌 👍
Trevor D.,2020,5, Like a cat at 3 A.M.
david,2022,5, Awesome gaming machine
Honeykz,2022,5, La recomiendo
Lucas,2022,2, No signal for wifi
John,2022,5," Fast, fast and fast"
Graciela castaneda,2022,5, The console was factory sealed
Andrew Frye,2021,4," If you can only get one, get a ps5"
Lance stenfeldt,2022,5, This console is awesome!
Nicholas Calderone,2021,5, One of my favorite buys of the year
Dean R.,2021,5, Most powerful next gen console!
Aurora,2022,5, Got it for MSRP on April 1st. Best purchase Ever!!!
Enjoying Life,2022,3, Not worth it
Judy Moore,2022,5, best xbox ever
Elijah Long,2022,5, Love it
ChynaBsNdaTrap,2022,5, Fast upload
Nick M.,2022,5, Great product worth the update
Patrick Skeith,2022,3," No Exclusives, mediocre 4k experience"
Amazon Customer,2022,5, Exactly as described.
albert truong,2022,2, $500 for wifi disconnection frustration
Adrian K.,2022,5, Works as expected.
Yoduh,2021,3, The console is just OK
Jess A.,2022,5, Runs fast and the 4k is great.
iKryptolyte,2022,5, Everything I thought it would be
David Laudolff,2022,4, great product
Runflatvet,2022,3, Not bad!
Amazon Customer,2022,5, Worth the wait
Bias Sucks USA,2022,5," Amazing power, amazing speed!"
David hirsch,2022,5, Gaming
Justice,2022,5, Came the very next day! In great condition!
Jeremy Dees,2021,5, Awesome console! Just make sure you have HDR10
John P.,2023,1, I think I got a refurbished one
Victor C.,2022,5, Amazing!
Brayan Nahun Urbina Garcia,2022,5, Excellent
Captain Awesome Pants,2022,5, Only bought this because there are no PS5’s available
Amazon Customer,2022,5," The scalpers tried, but I won"
Ron,2021,5, Lightning fast load-times!
De’Angelo Gonzales,2022,5, Love it !
HiTechKoolAid,2020,5, Loading times were worth the upgrade.
Zach B,2021,5, Thank you amazon!!
Jamaal wallace,2022,5, 😊
Cullen Jonathan Chatman,2022,5, It is AWESOME
Melissa.D,2022,5, Great purchase
Wayne Aung,2021,5, Best Xbox console out there
Toderick Bryant,2022,5, So happy
kelly carr,2022,5, I got it quick and love it
Andrew,2020,5, Incredible value for what you get
Kimberly Mesa,2022,5, Great was tha right price because it was tha newer model!
Edwin,2022,5, Highly recommend
Jeo99433,2021,5, Awesome console that I wish others can get.
Wes,2022,5, Amazing value
Drehood,2022,5, Awesome console!
Mfroland29,2022,5, Delivered on time!!
Josh,2022,5, Great
Joshua M,2022,5, Great Seller
Amazon Customer,2022,5, Whoo Hoo!
Tommy Cantrell,2022,5," Quick shipping, Product Arrived on time in perfect condition"
IrisL,2021,5, OMG!!!
Stacy,2022,5, Love it
Nathan R Coffin,2022,5, Quick delivery and great service
Kindle Customer,2020,5," Fast, faster. Speed of light."
Killerwatz872,2022,5, it's an xbox
Jesse W.,2020,5, It's a great console
sergio,2022,5, Perfecto
Jamaal,2022,5, Best system ever
Derek Givens,2021,5, Great Console
Troy,2022,5, It is a new console and I think am loving what I bought. What I see on Amazon is what I get
Dan Alexandar,2022,5, It's a beast!
gschurman,2022,5, Only buy at MSRP
Bradley,2021,4, It’s real.
Zach,2022,5, great
Ines Siegel,2022,5, Delivered in 3 days
Vinod,2020,5, Amazing System
Matthew Smith,2022,5, More than satisfied
Donta,2020,5, Loving it! A few minor issues though.
1289dude,2022,5, At MSRP.
Pog,2022,5," Act like a computer, game and video, All-in-one!"
Desaraye McCue,2022,5, Arrived so fast
Amazon Customer,2022,3, Amazon sent me a used Xbox...
dan,2022,5, Its legit
TBird,2022,5, Everything I wanted
Da.Sa.Ol.Po,2022,5, *thumbs up*
Edsel Talbert,2022,5, Nice!
Patrick,2022,5, Great console!
Collin crawford,2022,5, Actually found one at a reasonable price.
Bryan D.,2022,5, It was as expected and authentic and exactly as the picture
JT,2022,5, It’s processes so well.
Cory A,2021,5, Great gaming at a great price
Joel Velez,2021,5, Truly a next gen hardware waiting for next gen software!
Barbara Lewis,2022,5, My husband is happy 🥰
SKY,2020,5," The product is the most powerful, and very fast."
Sage,2020,4," Such an Amazing Console, but...."
Conan,2022,5, It plays games
thomas p,2022,5, Excellent Price finally!
Dylan Musick,2021,4, Works amazing!
leslie,2021,5, Showed up early
Jason Lam,2022,5, Xbox is the best console out there
Amazon Customer,2022,5, Amazing console no that it’s in stock!
Jay,2022,5, Great system
Lycanroc,2021,4, Great console (if you can get one at MSRP)
Jessica Martell,2023,2, Xbox did not work properly
B. Newell Tech And Brand Rep,2022,5, Love it
Charles lee,2022,5, Delivery was faster than expected.
sexyknickers,2022,5, Perfect timing
Raul,2021,5," Worthy amazing, The King!"
M. Crosby,2022,2, Microsoft doesn't play well with others
Christopher Quinn,2022,5, Finally got one
mam319,2022,5, Perfect!
Tom,2022,5, Finally got one that wasn't being scalped!
Theta Chi Clayton HB,2021,5, Best Xbox yet!
Maria Leverson,2022,2," Constant headaches, should have waited for a PS5."
justin skultka,2020,5, Got lucky scrolling amazon the other day
Mandy,2021,5, Great
Jerry Robbins,2022,5, Amazing!
mister,2021,5, Very satisfied
Tee,2022,5, Excellent! Came alot quicker than expected
Trey R.,2021,5, Pleasantly Surprised
Danny,2022,5, Awesome thank you 😊
Zack winter,2022,5, Xbox series x
William Daniels,2022,5, Great console
ChristFire!,2020,5," Incredible Machine Uber Impressive Build Quality and High End Pc level Graphics, and Performance !"
KrisTK,2022,5, Exactly as described
Nick Miller,2022,5, Incredible power and value
Amazon Customer,2022,5, Excellent gaming console.
Sam,2020,5, Best console ever.
MJ,2022,5, Almost didn't believe
Seth Vanderkar,2022,5, Xbox Series X
Roman Anthony Flores Jr,2020,5, GREAT XBOX UPGRADE
Greg & Kristen M.,2021,5, You want your kids to leave you alone while you're all stuck at home in quarantine?
Anthony,2021,5, Best Console Ever!
PAtty,2022,1, Beware!!!! you need the internet to play your games
Mike Richardson,2021,5, The Xbox Series X is Pretty Epic and is Great to have if you like Xbox!
Efrain,2022,5, it works
jpot,2020,4, Great so far
Dan,2022,5, Could be little cheaper but still good buy
Clarence freeman,2022,5, The best Xbox ever
Real_Sgt_Tom,2020,5, What an upgrade to gaming in 2020!
Yuri Vergara,2021,4, Muy buena pero...
BlueHeelered,2021,5, Couldn't be happier
Jon,2021,5, FINALLY!
LJ,2020,4, A minor improvement over the Xbox One X
Julian Fukue,2021,4, Not enough release titles
Luis Angel Cerda-Izucar,2022,5, Very good system
anonymous customer,2021,5, Best gaming console ever
Dustin,2022,5, next gen
Austin Castillo,2023,2, Controller broken
Kindle Customer,2021,4, Be careful
C. Yost,2021,5, Who needs relationships when you have this!?
Abdul Newland,2022,5, X
Chapo chavez,2021,5, Awesome esbos
Cole,2020,5, The load times alone make it worth every penny
